geno d.meth cpg
0 -0.0349804977055685 cg16655343
0.884 -8.24181932948531e-05 cg16655343
0.999 -0.0702313478030444 cg16655343
0.986 -0.0272310958523172 cg16655343
1 -0.0139854067633445 cg16655343
0.984 -0.0540811228289695 cg16655343
0 -0.0221724298347117 cg16655343
1 -0.0130670751108198 cg16655343
0.998 -0.053299686974297 cg16655343
0 -0.0210715798853477 cg16655343
2 -0.0509458279415194 cg16655343
1 -0.0176429156691341 cg16655343
1.986 -0.110230685206956 cg16655343
1 -0.108913399571388 cg16655343
0 -0.0174190720818762 cg16655343
0 -0.0800263109370467 cg16655343
0 -0.0176025415880187 cg16655343
0 -0.00347813459511041 cg16655343
0 -0.00348227262160927 cg16655343
0 -0.048530154544239 cg16655343
0.998 -0.0306650948030738 cg16655343
0 0.000726832135685557 cg16655343
1 -0.0684967964971196 cg16655343
0.983 -0.0538586285418274 cg16655343
0.995 -0.032413186795071 cg16655343
0 -0.013335441004465 cg16655343
0 0.0133672764744255 cg15708526
0 -0.00265316135030735 cg15708526
1 0.017584416424298 cg15708526
0 0.00381383662078039 cg15708526
0 -0.0270310567333572 cg15708526
0 0.0237327584475372 cg15708526
0 0.01458496646054 cg15708526
1 -0.00434427628302148 cg15708526
0 -0.0205093466594477 cg15708526
1 -0.0294180667460175 cg15708526
0 0.00912891435011154 cg15708526
0 0.0145420623641493 cg15708526
0.988 0.00500610641113197 cg15708526
1 -0.0250114612168616 cg15708526
1 0.0221190277798058 cg15708526
1.974 -0.00453892471910566 cg15708526
0.997 0.00116958874260453 cg15708526
0.981 -0.00894931456764825 cg15708526
0.997 -0.0443859168961825 cg15708526
1 -0.0414612959217321 cg15708526
0.985 -0.0170415055909077 cg15708526
0.996 -0.0067490239581367 cg15708526
1.908 0.00138188187950655 cg15708526
1 0.0266346624440563 cg15708526
0.988 0.0212021619066388 cg15708526
1 -0.0149256452853288 cg15708526
0 0.00362259233972706 cg15708526
0 -0.0424384934762155 cg15708526
0 -0.0119945495620091 cg15708526
0 0.0271508873363325 cg15708526
0.999 0.025703581776447 cg15708526
0 0.00375095789625879 cg15708526
0 0.00684687105791404 cg15708526
1 -0.0233471847278834 cg15708526
0.987 0.0271660996240258 cg15708526
1 0.00194411539545158 cg15708526
0 -0.0124899210826449 cg15708526
0 0.0093499179687323 cg15708526
0 0.0302578249798288 cg15708526
0 -0.0172652335399117 cg15708526
1 -0.0212454901189412 cg15708526
1 0.00489485124489353 cg15708526
0 0.0344910150946307 cg15708526
0 -0.00984498830987168 cg15708526
0 -0.032239497248652 cg15708526
0.995 -0.0110180920152491 cg15708526
0 -0.000403250702835978 cg15708526
0 0.00524018689304384 cg15708526
1 -0.000928692681818943 cg15708526
1 -0.0376002160877706 cg15708526
1 0.00330054377622246 cg15708526
0.998 0.0224688385904485 cg15708526
0 0.0114995315833136 cg15708526
1 0.00659325244369946 cg15708526
0.999 -0.0180722439720904 cg15708526
0 0.0198605999337477 cg15708526
0 0.00223436985038195 cg15708526
0.992 -0.0176275586941079 cg15708526
1 0.0303576507349718 cg15708526
0 -0.022206065366414 cg15708526
0 0.0060984695507097 cg15708526
1 0.0209819015218708 cg15708526
1 -0.0195539892810852 cg15708526
1 -0.0262693734795 cg15708526
0 0.00458232876619968 cg15708526
0.976 -0.0256652371116055 cg15708526
1 -0.000950165029861227 cg15708526
1 -0.00976654144286226 cg15708526
0 0.011861665843339 cg15708526
1 0.0053149052097109 cg15708526
0 -0.0090504283943118 cg15708526
0.996 0.0301779618255106 cg15708526
0 0.0350598940753214 cg15708526
1.99 -0.0310456981474696 cg15708526
0 -0.0367201266562426 cg15708526
1 -0.0203490602844055 cg15708526
0.998 0.0196066297246222 cg15708526
0 0.0194890307966904 cg15708526
0 -0.0169096393227062 cg15708526
0 0.0173444204728997 cg15708526
0 0.00316895712290033 cg15708526
0 -0.0105674025771894 cg15708526
1 -0.0234420810011156 cg15708526
0.986 -0.00932692212391906 cg15708526
1 0.00996952373207127 cg15708526
0.994 -0.0161095031251671 cg15708526
0 -0.0082303638360629 cg15708526
1 -0.00671479974342992 cg15708526
0.966 -0.00684357421817205 cg15708526
0 -0.0218396079214586 cg15708526
0 -0.0111971009520927 cg15708526
0.998 -0.0116434994464815 cg15708526
0 0.00902333002575084 cg15708526
0 0.00830515879566662 cg15708526
0 -0.00928220533843538 cg15708526
0 -0.000484643461461154 cg15708526
1 0.00368484230600441 cg15708526
1 0.0238830200714293 cg15708526
0 0.0515315154046316 cg15708526
1 0.00550781328175104 cg15708526
0 -0.0163933843420014 cg15708526
0.996 -0.0363660679471348 cg15708526
0.999 -0.00335665363519044 cg15708526
0 -0.0106539783075383 cg15708526
0 0.0143524964066688 cg15708526
1 -0.00414943547952418 cg15708526
1 -0.00549602154240136 cg15708526
0 0.014569580603448 cg15708526
0.994 -0.0224952959750252 cg15708526
1 0.00651177425046645 cg15708526
0 0.0257671639355223 cg15708526
0 0.000326477394596902 cg15708526
0.969 -0.0324059048195483 cg15708526
1.991 -0.0193976662740117 cg15708526
0 -0.0777590910067615 cg15708526
0 0.0130371135432125 cg15708526
0 0.00226369293924022 cg15708526
0 -0.0162337100096691 cg15708526
0 -0.00773821388120421 cg15708526
0 -0.0545210630703457 cg15708526
0 -0.0133014544614781 cg15708526
0 -0.00549639253255241 cg15708526
0 -0.000101446667563621 cg15708526
1.994 -0.0209583583077645 cg15708526
